name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Juan Soto,2024,25,8.0,4.46,3.54,-3.54,2
Juan Soto,2025,26,6.2,4.47,1.73,-1.73,3
Jurickson Profar,2024,31,3.6,1.94,1.66,-1.66,2
Jurickson Profar,2025,32,1.1,1.85,0.75,0.75,3
Justin Turner,2023,38,2.1,1.6,0.5,-0.5,1
Justin Turner,2024,39,1.4,1.5,0.1,0.1,2
Ke'Bryan Hayes,2023,26,3.9,3.5,0.4,-0.4,1
Ke'Bryan Hayes,2024,27,0.9,3.13,2.23,2.23,2
Ke'Bryan Hayes,2025,28,1.5,3.03,1.53,1.53,3
Keibert Ruiz,2023,24,1.4,1.92,0.52,0.52,1
Keibert Ruiz,2024,25,0.6,1.99,1.39,1.39,2
Keibert Ruiz,2025,26,0.8,1.9,1.1,1.1,3
Ketel Marte,2023,29,4.9,1.78,3.12,-3.12,1
Ketel Marte,2024,30,6.8,1.75,5.05,-5.05,2
Ketel Marte,2025,31,4.4,1.67,2.73,-2.73,3
Kevin Kiermaier,2023,33,3.8,1.92,1.88,-1.88,1
Kevin Kiermaier,2024,34,0.9,1.98,1.08,1.08,2
Kevin Newman,2024,30,2.2,1.57,0.63,-0.63,2
Kevin Pillar,2024,35,0.3,0.8,0.5,0.5,2
KikÃ© HernÃ¡ndez,2024,32,1.2,1.66,0.46,0.46,2
KikÃ© HernÃ¡ndez,2025,33,0.2,1.72,1.52,1.52,3
Kole Calhoun,2023,35,0.0,1.47,1.47,1.47,1
Kyle Farmer,2023,32,1.7,0.98,0.72,-0.72,1
Kyle Higashioka,2024,34,1.4,0.65,0.75,-0.75,2
Kyle Higashioka,2025,35,1.6,0.63,0.97,-0.97,3
Kyle Isbel,2023,26,2.0,0.86,1.14,-1.14,1
Kyle Isbel,2024,27,2.0,0.81,1.19,-1.19,2
Kyle Isbel,2025,28,1.6,0.75,0.85,-0.85,3
Kyle Schwarber,2023,30,0.7,1.45,0.75,0.75,1
Kyle Schwarber,2024,31,3.3,1.2,2.1,-2.1,2
Kyle Schwarber,2025,32,4.6,1.0,3.6,-3.6,3
Kyle Tucker,2023,26,5.5,4.89,0.61,-0.61,1
Kyle Tucker,2024,27,4.6,4.52,0.08,-0.08,2
Kyle Tucker,2025,28,4.6,4.32,0.28,-0.28,3
LaMonte Wade Jr.,2023,29,2.8,1.13,1.67,-1.67,1
LaMonte Wade Jr.,2024,30,2.0,1.12,0.88,-0.88,2
Lane Thomas,2023,27,3.3,1.49,1.81,-1.81,1
