name,season,actual_war,predicted_war,error,abs_error,tier
Seth Brown,2023,0.3,1.42,1.1199999999999999,1.1199999999999999,0-1
Shohei Ohtani,2023,6.1,2.93,-3.1699999999999995,3.1699999999999995,6+
Stuart Fairchild,2023,0.4,0.87,0.47,0.47,0-1
Taylor Walls,2023,2.0,2.18,0.18000000000000016,0.18000000000000016,1-2
Taylor Ward,2023,1.7,1.77,0.07000000000000006,0.07000000000000006,1-2
Teoscar HernÃ¡ndez,2023,2.3,2.3,0.0,0.0,2-3
Thairo Estrada,2023,2.5,1.4,-1.1,1.1,2-3
Tim Locastro,2023,0.4,1.58,1.1800000000000002,1.1800000000000002,0-1
Tom Murphy,2023,1.2,1.16,-0.040000000000000036,0.040000000000000036,1-2
Tommy Edman,2023,2.1,3.54,1.44,1.44,2-3
Tommy Pham,2023,1.5,1.4,-0.10000000000000009,0.10000000000000009,1-2
Travis Jankowski,2023,1.6,1.02,-0.5800000000000001,0.5800000000000001,1-2
Travis d'Arnaud,2023,0.2,1.62,1.4200000000000002,1.4200000000000002,0-1
Trea Turner,2023,3.5,4.64,1.1399999999999997,1.1399999999999997,3-4
Trent Grisham,2023,1.8,3.04,1.24,1.24,1-2
Trevor Story,2023,0.8,2.71,1.91,1.91,0-1
Ty France,2023,0.9,2.7,1.8000000000000003,1.8000000000000003,0-1
Tyler O'Neill,2023,0.3,2.63,2.33,2.33,0-1
Tyler Stephenson,2023,0.6,1.76,1.1600000000000001,1.1600000000000001,0-1
Tyrone Taylor,2023,0.4,1.98,1.58,1.58,0-1
Victor Caratini,2023,0.7,0.87,0.17000000000000004,0.17000000000000004,0-1
Vladimir Guerrero Jr.,2023,1.8,4.47,2.67,2.67,1-2
Wander Franco,2023,5.4,3.07,-2.3300000000000005,2.3300000000000005,5-6
Whit Merrifield,2023,0.7,2.24,1.5400000000000003,1.5400000000000003,0-1
Will Smith,2023,4.1,3.55,-0.5499999999999998,0.5499999999999998,4-5
Willi Castro,2023,2.6,1.37,-1.23,1.23,2-3
William Contreras,2023,3.7,1.79,-1.9100000000000001,1.9100000000000001,3-4
Willson Contreras,2023,3.3,2.59,-0.71,0.71,3-4
Willy Adames,2023,2.9,3.41,0.5100000000000002,0.5100000000000002,2-3
Wilmer Flores,2023,2.7,1.46,-1.2400000000000002,1.2400000000000002,2-3
Xander Bogaerts,2023,4.2,3.22,-0.98,0.98,4-5
Yan Gomes,2023,2.0,1.14,-0.8600000000000001,0.8600000000000001,1-2
Yandy DÃ­az,2023,5.1,2.26,-2.84,2.84,5-6
Yordan Alvarez,2023,4.5,4.9,0.40000000000000036,0.40000000000000036,4-5
YoÃ¡n Moncada,2023,0.6,1.71,1.1099999999999999,1.1099999999999999,0-1
Yu Chang,2023,0.1,0.73,0.63,0.63,0-1
Aaron Judge,2024,10.9,5.0,-5.9,5.9,6+
Abraham Toro,2024,0.6,1.46,0.86,0.86,0-1
Adam Frazier,2024,0.4,1.64,1.2399999999999998,1.2399999999999998,0-1
Adley Rutschman,2024,3.1,4.33,1.23,1.23,3-4
Adolis GarcÃ­a,2024,0.7,3.03,2.33,2.33,0-1
Alec Bohm,2024,2.8,1.39,-1.41,1.41,2-3
Alejandro Kirk,2024,1.9,2.42,0.52,0.52,1-2
Alex Bregman,2024,4.0,3.23,-0.77,0.77,3-4
Alex Call,2024,1.5,1.02,-0.48,0.48,1-2
Alex Verdugo,2024,0.9,2.53,1.63,1.63,0-1
Andrew McCutchen,2024,0.9,1.13,0.22999999999999987,0.22999999999999987,0-1
Andrew Vaughn,2024,0.1,1.3,1.2,1.2,0-1
AndrÃ©s GimÃ©nez,2024,4.0,3.96,-0.040000000000000036,0.040000000000000036,3-4
Andy IbÃ¡Ã±ez,2024,1.3,1.86,0.56,0.56,1-2
Anthony Rendon,2024,0.6,1.67,1.0699999999999998,1.0699999999999998,0-1
Anthony Rizzo,2024,0.2,1.21,1.01,1.01,0-1
Anthony Santander,2024,2.7,1.73,-0.9700000000000002,0.9700000000000002,2-3
Austin Barnes,2024,0.7,0.84,0.14,0.14,0-1
Austin Riley,2024,2.9,4.69,1.7900000000000005,1.7900000000000005,2-3
Ben Gamel,2024,0.2,0.76,0.56,0.56,0-1
Bobby Witt Jr.,2024,9.6,2.78,-6.82,6.82,6+
Brandon Lowe,2024,2.4,1.82,-0.5799999999999998,0.5799999999999998,2-3
